common_name,genus,species,votes_LA,votes_OK,votes_NM,revisit_votes_LA,revisit_votes_OK,revisit_votes_NM,revisit_votes_TX,priority_level
showy milkweed,Asclepias,speciosa,0,1,3,,,,,1
green antelopehorn,Asclepias,viridis,2,2,0,0,3,0,1,1
common buttonbush,Cephalanthus,occidentalis,3,2,0,,,,,1
eastern purple coneflower,Echinacea,purpurea,1,3,1,,,,,1
common sunflower,Helianthus,annuus,0,2,3,,,,,1
tall blazing star,Liatris,aspera,1,3,1,0,0,0,1,1
cardinalflower,Lobelia,cardinalis,3,2,2,,,,,1
wild bergamot,Monarda,fistulosa,3,4,4,,,,,1
red maple,Acer,rubrum,,,,1,0,0,0,
spider milkweed,Asclepias,asperula,,1,3,0,3,0,1,
swamp milkweed,Asclepias,incarnata,,3,,,,,,
broadleaf milkweed,Asclepias,latifolia,,1,1,,,,,
aquatic milkweed,Asclepias,perennis,3,,,1,0,0,0,
horsetail milkweed,Asclepias,subverticillata,,,3,,,,,
prairie milkweed,Asclepias,sullivantii,,1,,,,,,
common milkweed,Asclepias,syriaca,,2,,,,,,
butterfly milkweed,Asclepias,tuberosa,,1,2,1,2,0,1,
eastern baccharis,Baccharis,halimifolia,1,,,1,0,0,0,
false indigo,Baptisia,alba,1,,,,,,,
false indigo,Baptisia,sphaerocarpa,1,,,,,,,
basket flower,Centaurea,americana,,2,,,,,,
partridge pea,Chamaecrista,fasciculata,1,,,,,,,
redbud,Cercis,canadensis,,1,,,,,,
tall thistle,Cirsium,altissimum,,2,,,,,,
Canada thistle,Cirsium,arvense,,,1,,,,,
yellow thistle,Cirsium,horridulum,1,,,,,,,
New Mexico thistle,Cirsium,neomexicanum,,,2,,,,,
wavy-leaved thistle,Cirsium,undulatum,,,,0,2,0,1,
bull thistle,Cirsium,vulgare,,,1,,,,,
Rocky Mountain bee plant,Cleome,serrulata,,,4,,,,,
summersweet,Clethra,alnifolia,1,,,,,,,
blue mistflower,Conoclinium,coelestinum,2,,,1,0,0,0,
lanceleaf tickseed,Coreopsis,lanceolata,1,2,,,,,,
tickseed,Coreopsis,tinctoria,1,,1,,,,,
purple prairie clover,Dalea,purpurea,,2,2,,,,,
narrow-leaved coneflower,Echinacea,angustifolia,,1,,,,,,
chamisa,Ericameria,nauseosa,,,2,,,,,
fleabanes,Erigeron,,1,,,,,,,
rattlesnake master,Eryngium,yuccifolium,2,,,1,1,0,0,
,Helenium,flexuosm,1,,,,,,,
,Helenium,autumnale,1,,,,,,,
narrow leaf / swamp sunflower,Helianthus,angustifolius,1,,,1,0,0,0,
prairie sunflower,Helianthus,petiolaris,,,2,,,,,
hairy goldenaster,Heterotheca,villosa,,,3,,,,,
swamp spider lilies,Hymenocallis,liriosme,1,,,,,,,
swamp spider lilies,Hymenocallis,occidentalis,1,,,,,,,
hollies,Ilex ,,2,,,,,,,
blazing star,Liatris,,,,,1,0,1,1,
pinkscale blazing star,Liatris,elegans,2,1,,,,,,
dotted gayfeather,Liatris,punctata,,1,,,,,,
,Liatris,pycnostachys,1,,,,,,,
dense blazing star,Liatris,spicata,1,,,,,,,
coral honeysuckle,Lonicera,sempervirens,,,,1,0,0,0,
,Monarda,citriodora,2,,,,,,,
,Monarda,punctata,1,,,,,,,
tufted evening primrose,Oenothera,cespitosa,,,,0,0,1,0,
,Passiflora,lutea,1,,,,,,,
maypop,Passiflora,incarnata,1,,,1,0,0,0,
penstemon,Penstemon,,,1,,,,,,
,Phlox ,,1,,,,,,,
sand plum,Prunus,angustifolia,,1,,,,,,
Mexican plum,Prunus,mexicana,,1,,,,,,
,Pycnanthemum,tenuifolium,1,,,,,,,
,Pycnanthemum,muticum,1,,,,,,,
,Pycnanthemum,albescens,1,,,,,,,
,Pyrrhopappus,,1,,,,,,,
prairie coneflower / Mexican hat,Ratibida,columnifera,,,2,1,0,0,0,
buffalo currant,Ribes,aureum,,1,,,,,,
,Rudbeckia,,2,,,,,,,
blackeyed Susan,Rudbeckia,hirta,,2,1,,,,,
cut-leaf,Rudbeckia,laciniata,1,,,,,,,
lyre-leaf sage,Salvia,lyrata,2,,,,,,,
Goodding's willow,Salix,gooddingii,,,3,,,,,
common elderberry,Sambucus,nigra,,,,1,0,0,0,
rosinweed,Silphium,,1,,,,,,,
compass plant,Silphium,laciniatum,,1,,,,,,
goldenrod,Solidago,,,,,1,0,0,1,
,Solidago,gigantea,1,,,,,,,
wrinkleleaf goldenrod,Solidago,rugosa,2,1,,,,,,
common goldenrod,Solidago,altissima,2,,,,,,,
Missouri goldenrod,Solidago,missouriensis,,,3,,,,,
sweet goldenrod,Solidago,odora,2,,,,,,,
seaside goldenrod,Solidago,sempervirens,2,,,,,,,
copper globe mallow,Sphaeralcea,angustifolia,,,,0,0,2,0,
white heath aster,Symphyotrichum,ericoides,1,2,1,,,,,
New England aster,Symphyotrichum,novae-angliae,1,2,,,,,,
willow-leaf aster,Symphyotrichum,praealtum,,1,,,,,,
crownbeard,Verbesina,,2,,,,,,,
golden crownbeard,Verbesina,encelioides,,3,,,,,,
frostweed,Verbesina,virginica,,2,,,,,,
ironweed,Vernonia,,2,,,,,,,
giant ironweed,Vernonia,gigantea,,,,1,0,0,0,
Great Plains yucca,Yucca,glauca,,1,,,,,,
golden zizia,Zizia,aurea,,1,,,,,,
